label,value
GANESHHOUC ,GANESHHOUC.NS
SHARDACROP ,SHARDACROP-EQ.NS
CREATIVEYE ,CREATIVEYE-EQ.NS
CGPOWER ,CROMPGREAV.NS
CREATIVEYE ,CREATIVEYE.NS
CRISIL ,CRISIL.NS
SATIN ,SATIN-EQ.NS
SHARDACROP ,SHARDACROP.NS
CREST ,CREST-EQ.NS
SATIN ,SATIN.NS
PUNJABCHEM ,PUNJABCHEM.NS
CREST ,CREST.NS
CTE ,CTE-EQ.NS
CTE ,CTE.NS
CUMMINSIND ,CUMMINSIND-EQ.NS
CUBEXTUB ,CUBEXTUB.NS
CUBEXTUB ,CUBEXTUB-EQ.NS
CUMMINSIND ,CUMMINSIND.NS
CYBERTECH ,CYBERTECH.NS
CYBERMEDIA ,CYBERMEDIA.NS
CYIENT ,CYIENT-EQ.NS
EKC ,EKC-EQ.NS
CYBERMEDIA ,CYBERMEDIA-EQ.NS
CYIENT ,CYIENT.NS
COFFEEDAY ,COFFEEDAY.NS
COFFEEDAY ,COFFEEDAY-EQ.NS
HATHWAY ,HATHWAY.NS
DATAMATICS ,DATAMATICS-EQ.NS
UMANGDAIRY ,UMANGDAIRY-EQ.NS
UMANGDAIRY ,UMANGDAIRY.NS
DAAWAT ,DAAWAT.NS
DATAMATICS ,DATAMATICS.NS
DBREALTY ,DBREALTY.NS
DBCORP ,DBCORP.NS
DCW ,DCW.NS
DCBBANK ,DCBBANK-EQ.NS
DCM ,DCM.NS
DCBBANK ,DCBBANK.NS
DCMSHRIRAM ,DCMSHRIRAM.NS
DCMSHRIRAM ,DCMSHRIRAM-EQ.NS
DELTACORP ,DELTACORP.NS
DEEPINDS ,DEEPIND.NS
HIL ,HIL.NS
NDL ,NDL.NS
DHUNINV ,DHUNINV.NS
DTIL ,DTIL.NS
DHARSUGAR ,DHARSUGAR.NS
DTIL ,DTIL-EQ.NS
DHAMPURSUG ,DHAMPURSUG.NS
DHANBANK ,DHANBANK.NS
DISHTV ,DISHTV.NS
DIAPOWER ,DIAPOWER.NS
DIGJAMLMTD ,DIGJAM.NS
GATEWAY ,GDL.NS
RKDL ,RKDL-EQ.NS
DICIND ,DICIND-EQ.NS
RKDL ,RKDL.NS
PIONDIST ,PIONDIST-EQ.NS
DICIND ,DICIND.NS
PIONDIST ,PIONDIST.NS
DIVISLAB ,DIVISLAB.NS
DLF ,DLF.NS
DLINKINDIA ,DLINKINDIA.NS
DONEAR ,DONEAR.NS
DOLPHINOFF ,DOLPHINOFF.NS
DOLPHINOFF ,DOLPHINOFF-EQ.NS
DONEAR ,DONEAR-EQ.NS
DPSCLTD ,DPSCLTD-EQ.NS
DQE ,DQE.NS
DQE ,DQE-EQ.NS
DRREDDY ,DRREDDY-EQ.NS
PDPL ,PDPL.NS
LALPATHLAB ,LALPATHLAB-EQ.NS
KILITCH ,KILITCH.NS
DREDGECORP ,DREDGECORP-EQ.NS
LALPATHLAB ,LALPATHLAB.NS
MANGALAM ,MANGALAM.NS
DREDGECORP ,DREDGECORP.NS
KILITCH ,KILITCH-EQ.NS
JINDRILL ,JINDRILL.NS
DSKULKARNI ,DSKULKARNI-EQ.NS
DSKULKARNI ,DSKULKARNI.NS
DSSL ,DSSL-EQ.NS
DSSL ,DSSL.NS
DWARKESH ,DWARKESH.NS
DWARKESH ,DWARKESH-EQ.NS
DYNAMATECH ,DYNAMATECH.NS
DYNAMATECH ,DYNAMATECH-EQ.NS
GESHIP ,GESHIP.NS
EASTSILK ,EASTSILK-EQ.NS
EASUNREYRL ,EASUNREYRL-EQ.NS
EASUNREYRL ,EASUNREYRL.NS
EASTSILK ,EASTSILK.NS
ECLERX ,ECLERX.NS
GANECOS ,GANECOS-EQ.NS
VIKASECO ,VIKASECO.NS
VIKASECO ,VIKASGLOB.NS
ECLERX ,ECLERX-EQ.NS
GANECOS ,GANECOS.NS
EDUCOMP ,EDUCOMP.NS
EDELWEISS ,EDELWEISS.NS
EDELWEISS ,EDELWEISS-EQ.NS
UMESLTD ,UMESLTD-EQ.NS
MTEDUCARE ,MTEDUCARE.NS
NAUKRI ,NAUKRI.NS
NAVNETEDUL ,NAVNETEDUL.NS
NAVNETEDUL ,NAVNETEDUL-EQ.NS
NAUKRI ,NAUKRI-EQ.NS
MTEDUCARE ,MTEDUCARE-EQ.NS
SKMEGGPROD ,SKMEGGPROD-EQ.NS
SKMEGGPROD ,SKMEGGPROD.NS
EICHERMOT ,EICHERMOT.NS
EIHOTEL ,EIHOTEL.NS
EIMCOELECO ,EIMCOELECO.NS
EIDPARRY ,EIDPARRY.NS
EIMCOELECO ,EIMCOELECO-EQ.NS
EIDPARRY ,EIDPARRY-EQ.NS
TECHNOE ,TECHNO.NS
ELGIEQUIP ,ELGIEQUIP.NS
ELECTHERM ,ELECTHERM-EQ.NS
TVSELECT ,TVSELECT.NS
TVSELECT ,TVSELECT-EQ.NS
KECL ,KECL-EQ.NS
LEEL ,LLOYDELENG.NS
SCHNEIDER ,SCHNEIDER-EQ.NS
ELGIRUBCO ,ELGIRUBCO-EQ.NS
MIRCELECTR ,MIRCELECTR.NS
EON ,EON.NS
MICEL ,MIC.NS
BAJAJELEC ,BAJAJELEC.NS
INDNIPPON ,INDNIPPON.NS
ELECON ,ELECON-EQ.NS
EON ,EON-EQ.NS
ELECTHERM ,ELECTHERM.NS
SALZERELEC ,SALZERELEC-EQ.NS
ELGIRUBCO ,ELGIRUBCO.NS
PGEL ,PGEL-EQ.NS
KECL ,KECL.NS
PGEL ,PGEL.NS
MIRCELECTR ,MIRCELECTR-EQ.NS
ELECON ,ELECON.NS
SALZERELEC ,SALZERELEC.NS
EMCO ,EMCO.NS
EMCO ,EMCO-EQ.NS
PIONEEREMB ,PIONEEREMB.NS
EMAMILTD ,EMAMILTD.NS
EMMBI ,EMMBI.NS
EMKAY ,EMKAY.NS
PIONEEREMB ,PIONEEREMB-EQ.NS
EMKAY ,EMKAY-EQ.NS
SHEMAROO ,SHEMAROO.NS
SADBHAV ,SADBHAV.NS
RELIGARE ,RELIGARE.NS
PATELENG ,PATELENG.NS
ENIL ,ENIL.NS
FCONSUMER ,FCEL.NS
KARMAENG ,KARMAENG.NS
A2ZINFRA ,A2ZINFRA.NS
REVATHI ,REVATHI.NS
REVATHI ,REVATHI-EQ.NS
EROSMEDIA ,EROSMEDIA.NS
ESSARSHPNG ,ESSARSHPNG.NS
ESCORTS ,ESCORTS.NS
ESABINDIA ,ESABINDIA.NS
UNITEDTEA ,UNITEDTEA-EQ.NS
ESTER ,ESTER.NS
IBREALEST ,IBREALEST.NS
ESSARSHPNG ,ESSARSHPNG-EQ.NS
PRESTIGE ,PRESTIGE.NS
ESTER ,ESTER-EQ.NS
EUROMULTI ,EUROMULTI.NS
EUROMULTI ,EUROMULTI-EQ.NS
EVEREADY ,EVEREADY.NS
EVERESTIND ,EVERESTIND.NS
TULSI ,TULSI.NS
EXIDEIND ,EXIDEIND.NS
EXCEL ,EXCELINFO.NS
HINDOILEXP ,HINDOILEXP.NS
RAJESHEXPO ,RAJESHEXPO-EQ.NS
EXCELINDUS ,EXCELINDUS.NS
NORBTEAEXP ,NORBTEAEXP.NS
NAGREEKEXP ,NAGREEKEXP.NS
EXCEL ,EXCEL-EQ.NS
NAGREEKEXP ,NAGREEKEXP-EQ.NS
NUCLEUS ,NUCLEUS.NS
ORBTEXP ,ORBTEXP.NS
SELAN ,SELAN.NS
KABRAEXTRU ,KABRAEXTRU-EQ.NS
RAJESHEXPO ,RAJESHEXPO.NS
EXIDEIND ,EXIDEIND-EQ.NS
EXCEL ,EXCEL.NS
KABRAEXTRU ,KABRAEXTRU.NS
SAKUMA ,SAKUMA.NS
GOKEX ,GOKEX.NS
LOTUSEYE ,LOTUSEYE-EQ.NS
INDTERRAIN ,INDTERRAIN-EQ.NS
MONTECARLO ,MONTECARLO.NS
SUNDRMFAST ,SUNDRMFAST.NS
INDTERRAIN ,INDTERRAIN.NS
MONTECARLO ,MONTECARLO-EQ.NS
FLFL ,FLFL.NS
FLFL ,FLFL-EQ.NS
FCSSOFT ,FCSSOFT-EQ.NS
FCSSOFT ,FCSSOFT.NS
FCL ,FCL.NS
FDC ,FDC.NS
FDC ,FDC-EQ.NS
FMGOETZE ,FMGOETZE.NS
FEDERALBNK ,FEDERALBNK.NS
GSFC ,GSFC.NS
SHREEPUSHK ,SHREEPUSHK.NS
FEDERALBNK ,FEDERALBNK-EQ.NS
MADRASFERT ,MADRASFERT-EQ.NS
FEDDERELEC ,FEDDERLOYD.NS
IMPEXFERRO ,IMPEXFERRO.NS
SHREEPUSHK ,SHREEPUSHK-EQ.NS
CHAMBLFERT ,CHAMBLFERT.NS
NFL ,NFL.NS
MADRASFERT ,MADRASFERT.NS
SARLAPOLY ,SARLAPOLY.NS
NAHARPOLY ,NAHARPOLY-EQ.NS
IBULHSGFIN ,IBULHSGFIN.NS
FSL ,FSL.NS
63MOONS ,FINANTECH.NS
FINCABLES ,FINCABLES-EQ.NS
CONSOFINVT ,CONSOFINVT-EQ.NS
GICHSGFIN ,GICHSGFIN.NS
CAMLINFINE ,CAMLINFINE.NS
CONSOFINVT ,CONSOFINVT.NS
JMFINANCIL ,JMFINANCIL.NS
SUNDARMFIN ,SUNDARMFIN.NS
NAHARCAP ,NAHARCAP.NS
OFSS ,OFSS-EQ.NS
FIEMIND ,FIEMIND-EQ.NS
L&TFH ,L&TFH-EQ.NS
GLFL ,GLFL.NS
GINNIFILA ,GINNIFILA-EQ.NS
FILATEX ,FILATEX.NS
TCIFINANCE ,TCIFINANCE.NS
NAHARPOLY ,NAHARPOLY.NS
NITINFIRE ,NITINFIRE.NS
PFC ,PFC-EQ.NS
GICHSGFIN ,GICHSGFIN-EQ.NS
MOTILALOFS ,MOTILALOFS.NS
NAVINFLUOR ,NAVINFLUOR-EQ.NS
FLUOROCHEM ,GUJFLUORO.NS
NAVINFLUOR ,NAVINFLUOR.NS
FLEXITUFF ,FLEXITUFF.NS
FMNL ,FMNL.NS
FMNL ,FMNL-EQ.NS
MMFL ,MMFL.NS
FOSECOIND ,FOSECOIND.NS
FORTIS ,FORTIS.NS
FORTIS ,FORTIS-EQ.NS
ADFFOODS ,ADFFOODS.NS
RKFORGE ,RKFORGE.NS
METALFORGE ,METALFORGE-EQ.NS
LGBFORGE ,LGBFORGE-EQ.NS
HERITGFOOD ,HERITGFOOD.NS
METALFORGE ,METALFORGE.NS
KALYANIFRG ,KALYANIFRG-EQ.NS
PFOCUS ,PFOCUS-EQ.NS
PFOCUS ,PFOCUS.NS
RELAXO ,RELAXO-EQ.NS
RELAXO ,RELAXO.NS
KOHINOOR ,KOHINOOR-EQ.NS
HERITGFOOD ,HERITGFOOD-EQ.NS
HILTON ,HILTON.NS
KOHINOOR ,KOHINOOR.NS
MMFL ,MMFL-EQ.NS
LGBFORGE ,LGBFORGE.NS
KALYANIFRG ,KALYANIFRG.NS
FEL ,FRL.NS
HFCL ,HFCL.NS
UCALFUEL ,UCALFUEL.NS
IGL ,IGL.NS
GABRIEL ,GABRIEL.NS
GALLANTT ,GALLISPAT.NS
GATI ,GATI.NS
GUJGASLTD ,GUJGASLTD-EQ.NS
GUJGASLTD ,GUJGASLTD.NS
GAIL ,GAIL-EQ.NS
GUJGASLTD ,GUJGASLTD-BE.NS
KITEX ,KITEX-EQ.NS
GANDHITUBE ,GANDHITUBE.NS
GALLANTT ,GALLANTT-EQ.NS
ONGC ,ONGC-EQ.NS
GAMMONIND ,GAMMONIND.NS
ONGC ,ONGC.NS
GANGOTRI ,GANGOTRI-EQ.NS
GANESHHOUC ,GANESHHOUC-EQ.NS
GANGOTRI ,GANGOTRI.NS
GAYAPROJ ,GAYAPROJ.NS
GALLANTT ,GALLISPAT-EQ.NS
GALLANTT ,GALLANTT.NS
GENUSPOWER ,GENUSPOWER.NS
LYPSAGEMS ,LYPSAGEMS.NS
GENUSPOWER ,GENUSPOWER-EQ.NS
GENESYS ,GENESYS.NS
SHANTIGEAR ,SHANTIGEAR.NS
MOTOGENFIN ,MOTOGENFIN.NS
MOTOGENFIN ,MOTOGENFIN-EQ.NS
LYPSAGEMS ,LYPSAGEMS-EQ.NS
HITECHGEAR ,HITECHGEAR.NS
SHANTIGEAR ,SHANTIGEAR-EQ.NS
GITANJALI ,GITANJALI.NS
GITANJALI ,GITANJALI-EQ.NS
GHCL ,GHCL.NS
GHCL ,GHCL-EQ.NS
PNBGILTS ,PNBGILTS.NS
GIPCL ,GIPCL.NS
GISOLUTION ,GISOLUTION-EQ.NS
GIRRESORTS ,GIRRESORTS-EQ.NS
GILLETTE ,GILLETTE-EQ.NS
GIRRESORTS ,GIRRESORTS.NS
GINNIFILA ,GINNIFILA.NS
GISOLUTION ,GISOLUTION.NS
GILLETTE ,GILLETTE.NS
GKWLIMITED ,GKWLIMITED-EQ.NS
GKWLIMITED ,GKWLIMITED.NS
GLOBUSSPR ,GLOBUSSPR.NS
GLENMARK ,GLENMARK.NS
GLAXO ,GLAXO.NS
SGL ,SGL-EQ.NS
INDIAGLYCO ,INDIAGLYCO.NS
GLENMARK ,GLENMARK-EQ.NS
VAIBHAVGBL ,VAIBHAVGBL-EQ.NS
SEJALLTD ,SEZAL.NS
ONMOBILE ,ONMOBILE-EQ.NS
SGL ,SGL.NS
ONMOBILE ,ONMOBILE.NS
GLOBALVECT ,GLOBALVECT-EQ.NS
HINDNATGLS ,HINDNATGLS.NS
GLOBALVECT ,GLOBALVECT.NS
GLFL ,GLFL-EQ.NS
HGS ,HGS.NS
PGIL ,PGIL.NS
HGS ,HGS-EQ.NS
GMBREW ,GMBREW.NS
GMDCLTD ,GMDCLTD.NS
GMRINFRA ,GMRINFRA-EQ.NS
GMRINFRA ,GMRINFRA.NS
GODREJIND ,GODREJIND.NS
GPIL ,GPIL.NS
GODREJCP ,GODREJCP.NS
GOKUL ,GOKUL.NS
GOLDENTOBC ,GOLDENTOBC.NS
GOACARBON ,GOACARBON-EQ.NS
GOLDTECH ,GOLDTECH-EQ.NS
GOCLCORP ,GOCLCORP.NS
GOLDENTOBC ,GOLDENTOBC-EQ.NS
SHIRPUR-G ,SHIRPUR-G-EQ.NS
SHIRPUR-G ,SHIRPUR-G.NS
GOLDTECH ,GOLDTECH.NS
GOLDIAM ,GOLDIAM.NS
GOCLCORP ,GOCLCORP-EQ.NS
GODREJCP ,GODREJCP-EQ.NS
GODREJPROP ,GODREJPROP.NS
GOLDIAM ,GOLDIAM-EQ.NS
GOODLUCK ,GOODLUCK.NS
GODFRYPHLP ,GODFRYPHLP.NS
GOODLUCK ,GOODLUCK-EQ.NS
GPPL ,GPPL.NS
GULFPETRO ,GULFPETRO-EQ.NS
GULFPETRO ,GULFPETRO.NS
GULFPETRO ,SAHPETRO.NS
GREAVESCOT ,GREAVESCOT.NS
GRANULES ,GRANULES.NS
INVENTURE ,INVENTURE-EQ.NS
GSS ,GSS.NS
GTLINFRA ,GTLINFRA.NS
GTL ,GTL.NS
GTL ,GTL-EQ.NS
GULFOILLUB ,GULFOILLUB-EQ.NS
GULFOILLUB ,GULFOILLUB.NS
GULPOLY ,GULPOLY.NS
TIMESGTY ,TIMESGTY.NS
TIMESGTY ,TIMESGTY-EQ.NS
GVKPIL ,GVKPIL.NS
GVKPIL ,GVKPIL-EQ.NS
TAJGVK ,TAJGVK.NS
HAVELLS ,HAVELLS-EQ.NS
HARRMALAYA ,HARRMALAYA.NS
HAVELLS ,HAVELLS.NS
HBLPOWER ,HBLPOWER.NS
HBSL ,HBSTOCK.NS
HCLTECH ,HCLTECH.NS
HCL-INSYS ,HCL-INSYS-EQ.NS
HCG ,HCG.NS
HCL-INSYS ,HCL-INSYS.NS
HDFC ,HDFC-EQ.NS
HEIDELBERG ,HEIDELBERG.NS
TTKHLTCARE ,TTKHLTCARE-EQ.NS
HEG ,HEG.NS
HEXATRADEX ,HEXATRADEX.NS
HERCULES ,HERCULES-EQ.NS
HEIDELBERG ,HEIDELBERG-EQ.NS
HERCULES ,HERCULES.NS
TTKHLTCARE ,TTKHLTCARE.NS
HEROMOTOCO ,HEROMOTOCO.NS
HEXATRADEX ,HEXATRADEX-EQ.NS
HINDMOTORS ,HINDMOTORS.NS
HINDPETRO ,HINDPETRO-EQ.NS
HINDCOMPOS ,HINDCOMPOS.NS
HMVL ,HMVL-EQ.NS
HITECHCORP ,HITECHPLAS.NS
HINDMOTORS ,HINDMOTORS-EQ.NS
HINDCOPPER ,HINDCOPPER.NS
HIKAL ,HIKAL.NS
HINDCOPPER ,HINDCOPPER-EQ.NS
BAJAJHIND ,BAJAJHIND.NS
JCHAC ,HITACHIHOM.NS
SRHHYPOLTD ,SRHHYPOLTD-EQ.NS
HINDALCO ,HINDALCO.NS
HIKAL ,HIKAL-EQ.NS
HIMATSEIDE ,HIMATSEIDE.NS
HINDUNILVR ,HINDUNILVR-EQ.NS
BAJAJHLDNG ,BAJAJHLDNG.NS
HMT ,HMT.NS
NH ,NH-EQ.NS
NH ,NH.NS
HTMEDIA ,HTMEDIA.NS
INDIANHUME ,INDIANHUME.NS
HUBTOWN ,HUBTOWN.NS
IBULHSGFIN ,IBULHSGFIN-EQ.NS
ICICIBANK ,ICICIBANK-EQ.NS
ICSA ,ICSA-EQ.NS
ICRA ,ICRA.NS
ICSA ,ICSA.NS
IDFC ,IDFC.NS
IDBI ,IDBI-EQ.NS
IFCI ,IFCI.NS
IFBIND ,IFBIND.NS
IFGLEXPOR ,IFGLREFRAC.NS
IFCI ,IFCI-EQ.NS
IGARASHI ,IGARASHI.NS
IGPL ,IGPL-EQ.NS
IGPL ,IGPL.NS
IITL ,IITL.NS
IIFL ,IIFL-EQ.NS
IIFL ,IIFL.NS
IITL ,IITL-EQ.NS
IVC ,IVC-EQ.NS
IL&FSENGG ,IL&FSENGG.NS
IL&FSTRANS ,IL&FSTRAN.NS
IVC ,IVC.NS
IL&FSTRANS ,IL&FSTRANS.NS
INDLMETER ,INDLMETER.NS
IOB ,IOB.NS
IOC ,IOC.NS
IPCALAB ,IPCALAB-EQ.NS
IPCALAB ,IPCALAB.NS
JISLJALEQS ,JISLJALEQS-EQ.NS
SUNFLAG ,SUNFLAG.NS
ISMTLTD ,ISMTLTD.NS
ISFT ,ISFT.NS
SATHAISPAT ,SATHAISPAT-EQ.NS
SMLISUZU ,SMLISUZU.NS
SATHAISPAT ,SATHAISPAT.NS
ISMTLTD ,ISMTLTD-EQ.NS
ITC ,ITC.NS
PILITA ,PILITA-EQ.NS
PILITA ,PILIND.NS
ITI ,ITI.NS
PILITA ,PILITA.NS
ITC ,ITC-EQ.NS
IVRCLINFRA ,IVRCLINFRA.NS
IVRCLINFRA ,IVRCLINFRA-EQ.NS
IVP ,IVP.NS
IZMO ,IZMO-EQ.NS
IZMO ,IZMO.NS
JAGSNPHARM ,JAGSNPHARM.NS
JAINSTUDIO ,JAINSTUDIO.NS
JAYNECOIND ,JAYNECOIND.NS
JAYSREETEA ,JAYSREETEA-EQ.NS
JAICORPLTD ,JAICORPLTD-EQ.NS
JAINSTUDIO ,JAINSTUDIO-EQ.NS
JAYSREETEA ,JAYSREETEA.NS
JPINFRATEC ,JPINFRATEC.NS
JBMA ,JBMA-EQ.NS
JBCHEPHARM ,JBCHEPHARM.NS
JBCHEPHARM ,JBCHEPHARM-EQ.NS
JBMA ,JBMA.NS
THANGAMAYL ,THANGAMAYL-EQ.NS
THANGAMAYL ,THANGAMAYL.NS
JHS ,JHS.NS
JHS ,JHS-EQ.NS
JSLHISAR ,JSLHISAR.NS
JINDALSTEL ,JINDALSTEL-EQ.NS
JIKIND ,JIKIND.NS
JINDALSTEL ,JINDALSTEL.NS
JINDALPOLY ,JINDALPOLY.NS
JINDALSAW ,JINDALSAW-EQ.NS
JINDALPOLY ,JINDALPOLY-EQ.NS
JSL ,JSL.NS
JMTAUTOLTD ,JMTAUTOLTD.NS
JMCPROJECT ,JMCPROJECT.NS
JOCIL ,JOCIL.NS
JYOTISTRUC ,JYOTISTRUC.NS
KAMDHENU ,KAMDHENU.NS
KALPATPOWR ,KALPATPOWR.NS
KANANIIND ,KANANIIND.NS
KANSAINER ,KANSAINER-EQ.NS
KAVVERITEL ,KAVVERITEL-EQ.NS
KAMDHENU ,KIL.NS
KAYA ,KAYA-EQ.NS
KSL ,KSL-EQ.NS
KAYA ,KAYA-BE.NS
KSCL ,KSCL-EQ.NS
KAMATHOTEL ,KAMATHOTEL.NS
KANANIIND ,KANANIIND-EQ.NS
KAMATHOTEL ,KAMATHOTEL-EQ.NS
KARURVYSYA ,KARURVYSYA.NS
KAYA ,KAYA.NS
PKTEA ,PKTEA-EQ.NS
KTKBANK ,KTKBANK.NS
PKTEA ,PKTEA.NS
KAUSHALYA ,KAUSHALYA-EQ.NS
KANORICHEM ,KANORICHEM.NS
KICL ,KICL.NS
KAVVERITEL ,KAVVERITEL.NS
KCP ,KCP.NS
KDDL ,KDDL.NS
KEC ,KEC-EQ.NS
KEI ,KEI.NS
KERNEX ,KERNEX.NS
KELLTONTEC ,KELLTONTEC.NS
KESORAMIND ,KESORAMIND.NS
SHK ,SHK.NS
KESORAMIND ,KESORAMIND-EQ.NS
KHANDSE ,KHANDSE-EQ.NS
RADICO ,RADICO.NS
RADICO ,RADICO-EQ.NS
KHANDSE ,KHANDSE.NS
KHAITANLTD ,KHAITANLTD.NS
KHAITANLTD ,KHAITANLTD-EQ.NS
KIRIINDUS ,KIRIINDUS.NS
KIRLOSIND ,KIRLOSIND-EQ.NS
KIRLOSENG ,KIRLOSENG-EQ.NS
KIRLOSIND ,KIRLOSIND.NS
KMSUGAR ,KMSUGAR-EQ.NS
KMSUGAR ,KMSUGAR.NS
KOTHARIPET ,KOTHARIPET-EQ.NS
KOLTEPATIL ,KOLTEPATIL-EQ.NS
KOTHARIPET ,KOTHARIPET.NS
KOKUYOCMLN ,KOKUYOCMLN.NS
KOLTEPATIL ,KOLTEPATIL.NS
KPRMILL ,KPRMILL-EQ.NS
KRIDHANINF ,KRIDHANINF-EQ.NS
KRBL ,KRBL.NS
KRIDHANINF ,KRIDHANINF.NS
KSK ,KSK-EQ.NS
LT ,LT.NS
MOREPENLAB ,MOREPENLAB.NS
LYKALABS ,LYKALABS.NS
UNICHEMLAB ,UNICHEMLAB.NS
PENINLAND ,PENINLAND-EQ.NS
LAMBODHARA ,LAMBODHARA-EQ.NS
LPDC ,LPDC-EQ.NS
LAKPRE ,LAKPRE.NS
NEULANDLAB ,NEULANDLAB-EQ.NS
LAMBODHARA ,LAMBODHARA.NS
VIVIMEDLAB ,VIVIMEDLAB.NS
INDSWFTLAB ,INDSWFTLAB.NS
NEULANDLAB ,NEULANDLAB.NS
VIMTALABS ,VIMTALABS-EQ.NS
LT ,LT-EQ.NS
LAXMIMACH ,LAXMIMACH.NS
LFIC ,LFIC-EQ.NS
INDSWFTLAB ,INDSWFTLAB-EQ.NS
PENINLAND ,PENINLAND.NS
CAPLIPOINT ,CAPLIPOINT.NS
VIVIMEDLAB ,VIVIMEDLAB-EQ.NS
MOREPENLAB ,MOREPENLAB-EQ.NS
LAKSHMIEFL ,LAKSHMIEFL.NS
LYKALABS ,LYKALABS-EQ.NS
LFIC ,LFIC.NS
LCCINFOTEC ,LCCINFOTEC.NS
LCCINFOTEC ,LCCINFOTEC-EQ.NS
INOXLEISUR ,INOXLEISUR-EQ.NS
INOXLEISUR ,INOXLEISUR.NS
LGBBROSLTD ,LGBBROSLTD.NS
SUVEN ,SUVEN.NS
SONATSOFTW ,SONATSOFTW.NS
SNOWMAN ,SNOWMAN-EQ.NS
RPGLIFE ,RPGLIFE.NS
PREMIERPOL ,PREMIERPOL-EQ.NS
PARACABLES ,PARACABLES-EQ.NS
MCLEODRUSS ,MCLEODRUSS.NS
COUNCODOS ,COUNCODOS.NS
COROMANDEL ,COROMANDEL.NS
RMMIL ,RMMIL.NS
RMMIL ,RMMIL-EQ.NS
REFEX ,REFEX-EQ.NS
PRAKASH ,PRAKASH-EQ.NS
MOIL ,MOIL.NS
NILAINFRA ,NILAINFRA-EQ.NS
SYMPHONY ,SYMPHONY.NS
NECLIFE ,NECLIFE.NS
ORIENTLTD ,ORIENTLTD-EQ.NS
MCLEODRUSS ,MCLEODRUSS-EQ.NS
ENGINERSIN ,ENGINERSIN-EQ.NS
PONNIERODE ,PONNIERODE-EQ.NS
THERMAX ,THERMAX-EQ.NS
PHOENIXLTD ,PHOENIXLTD.NS
GRPLTD ,GRPLTD-EQ.NS
INSECTICID ,INSECTICID-EQ.NS
TORNTPHARM ,TORNTPHARM-EQ.NS
SKFINDIA ,SKFINDIA-EQ.NS
POLYPLEX ,POLYPLEX-EQ.NS
TATAMETALI ,TATAMETALI-EQ.NS
BANCOINDIA ,BANCOINDIA.NS
UPL ,UPL.NS
VRLLOG ,VRLLOG-EQ.NS
STEL ,STEL-EQ.NS
INDUSINDBK ,INDUSINDBK.NS
MOLDTKPAC ,MOLDTKPAC-EQ.NS
MCDHOLDING ,MCDHOLDING-EQ.NS
GREAVESCOT ,GREAVESCOT-EQ.NS
TNTELE ,TNTELE-EQ.NS
UNIVCABLES ,UNIVCABLES-EQ.NS
GRAVITA ,GRAVITA.NS
TECHIN ,TECHIN-BE.NS
SHARDAMOTR ,SHARDAMOTR-EQ.NS
NITCO ,NITCO-EQ.NS
UNITY ,UNITY-EQ.NS
PROZONINTU ,PROZONINTU-EQ.NS
TATASTEEL ,TATASTEEL-EQ.NS
INDOTECH ,INDOTECH-EQ.NS
SUPREMEIND ,SUPREMEIND-EQ.NS
MBLINFRA ,MBLINFRA-EQ.NS
GRAVITA ,GRAVITA-EQ.NS
DELTAMAGNT ,DELTAMAGNT-EQ.NS
PUNJLLOYD ,PUNJLLOYD.NS
PETRONET ,PETRONET-EQ.NS
PETRONET ,PETRONET.NS
SICAL ,SICAL.NS
PATINTLOG ,PATINTLOG.NS
SHREYAS ,SHREYAS.NS
LOVABLE ,LOVABLE.NS
LOKESHMACH ,LOKESHMACH.NS
SNOWMAN ,SNOWMAN.NS
LOVABLE ,LOVABLE-EQ.NS
VRLLOG ,VRLLOG.NS
SAKHTISUG ,SAKHTISUG.NS
PRIMESECU ,PRIMESECU.NS
INFOMEDIA ,INFOMEDIA.NS
TVSMOTOR ,TVSMOTOR.NS
TTML ,TTML.NS
TRF ,TRF.NS
TITAN ,TITAN.NS
TIJARIA ,TIJARIA.NS
TI ,TI.NS
THERMAX ,THERMAX.NS
TATAMOTORS ,TATAMTRDVR.NS
TATACOMM ,TATACOMM.NS
TAKE ,TAKE.NS
SURANASOL ,SURANASOL.NS
LUXIND ,LUXIND.NS
LUMAXIND ,LUMAXIND-EQ.NS
LUMAXTECH ,LUMAXTECH-EQ.NS
LUXIND ,LUXIND-EQ.NS
LUMAXIND ,LUMAXIND.NS
MTNL ,MTNL.NS
MASTEK ,MASTEK.NS
MARKSANS ,MARKSANS.NS
MALUPAPER ,MALUPAPER.NS
MHRIL ,MHRIL-EQ.NS
MANINDS ,MANINDS.NS
MARICO ,MARICO.NS
RMCL ,RMCL-EQ.NS
M&MFIN ,M&MFIN.NS
MANAKSTEEL ,MANAKSTEEL.NS
MARALOVER ,MARALOVER-EQ.NS
MANINFRA ,MANINFRA.NS
MBLINFRA ,MBLINFRA.NS
MCDOWELL-N ,MCDOWELL-N-EQ.NS
MCDHOLDING ,MCDHOLDING.NS
SAMBHAAV ,SAMBHAAV.NS
RADAAN ,RADAAN.NS
PRECOT ,PRECOT.NS
POLYMED ,POLYMED.NS
MEGASOFT ,MEGASOFT-EQ.NS
MEP ,MEP.NS
SHILPAMED ,SHILPAMED.NS
MEP ,MEP-EQ.NS
MELSTAR ,MELSTAR.NS
MOL ,MEGH-EQ.NS
RATNAMANI ,RATNAMANI.NS
